Kanji,Reading,Meaning,Level
赴任,ふにん,moving to a different location to start a new job; (proceeding to) new appointment,1
腐敗,ふはい,decomposition; putrefaction,1
不評,ふひょう,bad reputation; poor reception,1
不便,ふびん,inconvenience; inexpediency,1
不服,ふふく,dissatisfaction; discontent,1
普遍,ふへん,universal; general,1
踏まえる,ふまえる,to be based on; to take into account,1
文,ふみ,mon; letter,1
不明,ふめい,unclear; obscure,1
扶養,ふよう,support (e.g. of one's dependents); maintenance,1
振り,ふり,swing; shake,1
振り出し,ふりだし,shaking (something) out; starting point,1
不良,ふりょう,bad; poor,1
浮力,ふりょく,buoyancy; floating power,1
震わせる,ふるわせる,to (make something) quiver; to shake,1
付録,ふろく,appendix; supplement,1
分,ふん,"minute (unit of time); fun (one tenth of a monme, 5.787 grains)",1
憤慨,ふんがい,indignation; resentment,1
紛失,ふんしつ,loss; going missing,1
噴出,ふんしゅつ,spewing; gushing,1
紛争,ふんそう,dispute; conflict,1
ふんだん,ふんだん,plentiful; abundant,1
奮闘,ふんとう,strenuous effort; hard struggle,1
粉末,ふんまつ,fine powder,1
部,ぶ,"hereditary occupational group (Yamato period); department (in an organization, company, etc.)",1
部下,ぶか,subordinate person,1
ぶかぶか,ぶかぶか,too large (clothing); baggy,1
侮辱,ぶじょく,insult; affront,1
武装,ぶそう,arms; armament,1
斑,ぶち,spots; speckles,1
物資,ぶっし,goods; materials,1
物体,ぶったい,object; body,1
物議,ぶつぎ,public discussion; public criticism,1
打付ける,ぶつける,to hit (e.g. one's head); to strike,1
仏像,ぶつぞう,statue of Buddha; image of Buddha,1
無難,ぶなん,safe (e.g. choice); secure,1
部門,ぶもん,division (of a larger group); branch,1
ぶら下げる,ぶらさげる,to hang; to suspend,1
ぶらぶら,ぶらぶら,dangling; swaying,1
武力,ぶりょく,armed might; military power,1
無礼,ぶれい,rude; impolite,1
文化財,ぶんかざい,cultural assets; cultural property,1
分業,ぶんぎょう,division of labor; division of labour,1
文語,ぶんご,written language; literary language,1
分散,ぶんさん,dispersion; breakup,1
分子,ぶんし,molecule; numerator,1
文書,ぶんしょ,document; writing,1
分担,ぶんたん,"taking on one's share (e.g. of work); dividing (work, expenses, etc.) between",1
分配,ぶんぱい,division; splitting,1
分母,ぶんぼ,denominator,1
分離,ぶんり,separation; partition,1
分裂,ぶんれつ,split; division,1
兵器,へいき,arms; weapon,1
閉口,へいこう,to be stumped; to be at a loss,1
平行,へいこう,"parallelism; running parallel (to, with)",1
閉鎖,へいさ,closing; closure,1
兵士,へいし,soldier,1
平常,へいじょう,normal; usual,1
平方,へいほう,square (e.g. metre),1
並列,へいれつ,arranging in a line; standing in a row,1
辟易,へきえき,to be fed up (with); to be tired (of),1
臍,へそ,navel; belly button,1
隔たる,へだたる,to be distant,1
謙る,へりくだる,to deprecate oneself and praise the listener; to abase oneself,1
経る,へる,to pass; to elapse,1
編,へん,compilation (of a text); editing,1
偏,へん,imperfect; incomplete,1
変革,へんかく,change; transformation,1
返還,へんかん,return; restoration,1
偏見,へんけん,prejudice; bias,1
返済,へんさい,repayment; reimbursement,1
変遷,へんせん,change; transition,1
返答,へんとう,reply; answer,1
変動,へんどう,change; fluctuation,1
弁解,べんかい,explanation (e.g. for one's actions); excuse,1
便宜,べんぎ,convenience; accommodation,1
弁護,べんご,defense; defence,1
弁償,べんしょう,compensation; indemnification,1
弁論,べんろん,discussion; debate,1
ぺこぺこ,ぺこぺこ,very hungry; starving,1
穂,ほ,ear (of a cereal plant); head,1
保育,ほいく,nursing (esp. an animal); suckling,1
倣,ほう,round-necked robe worn by members of nobility and the imperial court; bract,1
法案,ほうあん,bill (law); measure,1
崩壊,ほうかい,collapse; crumbling,1
法学,ほうがく,law; jurisprudence,1
放棄,ほうき,abandonment; renouncement,1
宝器,ほうき,treasured article or vessel; outstanding individual,1
封建,ほうけん,feudalism,1
豊作,ほうさく,abundant harvest; bumper crop,1
方策,ほうさく,plan; measure,1
奉仕,ほうし,service; ministry,1
方式,ほうしき,form; method,1
放射,ほうしゃ,radiation; emission,1
放射能,ほうしゃのう,radioactivity; radiation,1
報酬,ほうしゅう,remuneration; recompense,1
放出,ほうしゅつ,emission; release,1
報じる,ほうじる,to report; to inform,1
報ずる,ほうずる,to report; to inform,1
放置,ほうち,leaving as is; leaving alone,1
法廷,ほうてい,court (of law); courtroom,1
報道,ほうどう,report (of news); reporting,1
褒美,ほうび,reward; prize,1
葬る,ほうむる,to bury; to inter,1
放り込む,ほうりこむ,to throw into; to toss into,1
放り出す,ほうりだす,to forcefully excrete; to force out (of one's body),1
飽和,ほうわ,saturation; satiation,1
保温,ほおん,retaining warmth; keeping heat in,1
捕獲,ほかく,capture; seizure,1
保管,ほかん,charge; custody,1
補給,ほきゅう,supply; supplying,1
補強,ほきょう,reinforcement; strengthening,1
保険,ほけん,insurance; guarantee,1
捕鯨,ほげい,whaling; whale hunting,1
誇る,ほこる,to boast of; to be proud of,1
綻びる,ほころびる,to come apart at the seams; to be ripped,1
保護,ほご,protection; safeguard,1
乾,ほし,northwest; drying,1
干し物,ほしもの,"things dried in the sun (esp. clothes, dyed cloth, etc.)",1
保守,ほしゅ,maintenance; conservatism,1
保障,ほしょう,guarantee; security,1
補償,ほしょう,compensation; reparation,1
補充,ほじゅう,replenishment; supplementation,1
補助,ほじょ,assistance; support,1
舗装,ほそう,"paving (a road); surfacing (with asphalt, concrete, etc.)",1
補足,ほそく,supplement; complement,1
発作,ほっさ,fit; attack,1
ほっと,ほっと,with a feeling of relief; with a sigh of relief,1
頬っぺた,ほっぺた,cheek,1
辺り,ほとり,side (esp. of a waterbody); edge,1
殆ど,ほとんど,almost; nearly,1
解く,ほどく,to untie; to unfasten,1
施す,ほどこす,"to give (time, money, goods); to donate",1
保母,ほぼ,(female) childcare worker; nursery school teacher,1
保養,ほよう,health preservation; recuperation,1
捕吏,ほり,constable; policeman,1
捕虜,ほりょ,prisoner (of war); POW,1
滅びる,ほろびる,to go to ruin; to go under,1
滅ぼす,ほろぼす,to destroy; to overthrow,1
本格,ほんかく,original method; original procedure,1
本館,ほんかん,"main building (as opposed to an annex, outbuilding, etc.); this library",1
本気,ほんき,seriousness; earnestness,1
本質,ほんしつ,essence; true nature,1
本体,ほんたい,substance; true form,1
本音,ほんね,real intention; motive,1
本の,ほんの,mere; only,1
本能,ほんのう,instinct,1
本場,ほんば,home (of something); place famous for its ...,1
本文,ほんぶん,"text (of a book, document, etc.); body (of a letter)",1
本名,ほんみょう,real name,1
卯,ぼう,the Rabbit (fourth sign of the Chinese zodiac); the Hare,1
防衛,ぼうえい,defense; defence,1
防火,ぼうか,fire prevention; fire control,1
妨害,ぼうがい,obstruction; hindrance,1
紡績,ぼうせき,spinning (textiles); spun yarn,1
呆然,ぼうぜん,dumbfounded; overcome with surprise,1
膨脹,ぼうちょう,expansion; swelling,1
冒頭,ぼうとう,beginning; opening,1
暴動,ぼうどう,insurrection; riot,1
暴風,ぼうふう,storm; windstorm,1
暴力,ぼうりょく,violence; mayhem,1
募金,ぼきん,fundraising; collection of contributions,1
牧師,ぼくし,pastor; minister,1
母校,ぼこう,alma mater,1
没収,ぼっしゅう,seizure; confiscation,1
坊ちゃん,ぼっちゃん,(another's) son; boy,1
ぼつぼつ,ぼつぼつ,gradually; little by little,1
没落,ぼつらく,ruin; fall,1
ぼやく,ぼやく,to grumble; to complain,1
ぼやける,ぼやける,to become dim; to become blurred,1
藍褸,ぼろ,tremendous; huge,1
枚,まい,"counter for thin, flat things (petals, leaves, etc.); bill",1
埋蔵,まいぞう,burying in the ground; having underground deposits,1
舞う,まう,to dance (orig. a whirling dance); to whirl (in the wind),1
真上,まうえ,right above; just above,1
前売り,まえうり,advance sale; booking,1
前置き,まえおき,preface; introduction,1
前もって,まえもって,in advance; beforehand,1
任す,まかす,to entrust (to someone); to leave (in someone's hands),1
負かす,まかす,to defeat,1
賄う,まかなう,"to supply (goods, money, etc.); to cover (costs)",1
曲がる,まがる,to bend; to curve,1
巻,まき,roll (e.g. of cloth); winding (e.g. watch),1
紛らわしい,まぎらわしい,easily mixed up (e.g. similar words); easily mistaken,1
紛れる,まぎれる,to disappear into; to be lost in,1
膜,まく,membrane; film,1
捲る,まくる,to turn up; to roll up (e.g. sleeves),1
真心,まこころ,sincerity; true heart,1
誠,まこと,truth; reality,1
真に,まことに,truly; really,1
まごつく,まごつく,to be confused; to be flustered,1
正しく,まさしく,right; rightly,1
正に,まさに,exactly; just,1
勝る,まさる,to excel; to surpass,1
増し,まし,better; preferable,1
真下,ました,right under; directly below,1
況して,まして,still more; to say nothing of,1
交える,まじえる,to mix; to combine,1
交わる,まじわる,to cross; to intersect,1
麻酔,ますい,anaesthesia; anesthesia,1
益々,ますます,increasingly; more and more,1
不味い,まずい,bad(-tasting); unpalatable,1
股,また,groin; thigh,1
跨がる,またがる,to straddle; to sit astride,1
跨ぐ,またぐ,to step over; to step across,1
瞬き,またたき,blink (of eyes); wink,1
待ち合わせ,まちあわせ,appointment,1
間違う,まちがう,to be mistaken; to be incorrect,1
待ち遠しい,まちどおしい,longed-for; anxiously awaited,1
待ち望む,まちのぞむ,to wait eagerly for; to look forward to,1
区々,まちまち,various; varied,1
末期,まっき,hour of death; one's last moments,1
真っ二つ,まっぷたつ,in two equal parts,1
的,まと,-ical; -ive,1
纏まり,まとまり,unity; coherence,1
纏め,まとめ,summary; recapitulation,1
免れる,まぬかれる,"to escape (disaster, death, etc.); to be saved from",1
招き,まねき,invitation,1
麻痺,まひ,paralysis; palsy,1
眩しい,まぶしい,dazzling; radiant,1
目蓋,まぶた,eyelid,1
間々,まま,occasionally; now and then,1
間もなく,まもなく,soon; shortly,1
眉,まゆ,eyebrow; eyebrows,1
鞠,まり,"ball (for sport, games, etc.); kemari",1
丸ごと,まるごと,in its entirety; whole,1
丸っきり,まるっきり,completely; absolutely,1
丸で,まるで,as if; as though,1
丸々,まるまる,plump; rotund,1
丸める,まるめる,to make round; to roll up,1
満月,まんげつ,full moon,1
満場,まんじょう,whole house; whole audience,1
真ん中,まんなか,middle; centre,1
真ん前,まんまえ,right in front; just opposite,1
真ん丸い,まんまるい,perfectly round; perfectly circular,1
三,み,three; 3,1
見合い,みあい,(formal) meeting with a view to marriage; interview with a prospective spouse,1
見合わせる,みあわせる,to exchange glances; to look at each other,1
見落とす,みおとす,to overlook; to fail to notice,1
未開,みかい,uncivilized; uncivilised,1
味覚,みかく,(sense of) taste; palate,1
見掛ける,みかける,to (happen to) see; to notice,1
三日月,みかずき,crescent moon; young moon,1
見方,みかた,viewpoint; point of view,1
見苦しい,みぐるしい,unsightly; ugly,1
見込み,みこみ,hope; promise,1
未婚,みこん,unmarried; not yet married,1
惨め,みじめ,miserable; wretched,1
未熟,みじゅく,unripe; green,1
微塵,みじん,particle; atom,1
見すぼらしい,みすぼらしい,shabby; unsightly,1
見せびらかす,みせびらかす,to show off; to flaunt,1
見せ物,みせもの,misemono; show,1
満たす,みたす,"to satisfy (conditions, one's appetite, etc.); to meet (e.g. demands)",1
乱す,みだす,to throw into disorder; to disarrange,1
